x;y;life_span;mean_SpectralNorm;max_SpectralNorm;trend_SpectralNorm;mean_DeltaSpec;max_DeltaSpec;n_role_changes;EvolutionType;index_right;Name;Name_en;dist_to_station
3106459;7512666;57;0.15856736445410857;0.6996285493430905;-0.0014421573391921268;0.06129022753962436;0.6749672850254451;0;4;190;Виру;Viru;0.47809706164750976
3106459;7512666;57;0.15856736445410857;0.6996285493430905;-0.0014421573391921268;0.06129022753962436;0.6749672850254451;0;4;86;Эстонская ГРЭС;Estonskaja GRES;0.47809706164750976
3120359;7804319;42;0.05714202713248201;0.07206626770955046;1.0191365407748963e-05;0.003997174601490642;0.01930742067223966;0;0;917;Юлликяля;Jullikjalja;0.17710477102332334
3126463;6534436;29;0.08096594253646634;0.08637085786007348;8.171722988878102e-05;0.0016832480670350579;0.00822553569813382;0;0;911;Белорусская;Belorusskaja;0.30962099449185676
3129551;7527716;3;0.7070271567473556;0.7070321797746552;-3.8055542617190095e-06;3.8055542617154714e-06;7.457973375313287e-06;0;1;87;Прибалтийская ГРЭС;Pribaltijskaja GRES;870.5670117574293
3129576;7527616;3;0.0007512786434852528;0.0007687592235283866;8.781572759292027e-06;2.62208700647006e-05;3.5002442823990165e-05;0;2;87;Прибалтийская ГРЭС;Pribaltijskaja GRES;790.8905878568387
3129649;7527513;3;0.0006313264637913038;0.0006460160238890201;7.3794714180919985e-06;2.2034340146574413e-05;2.9413811564664373e-05;0;2;87;Прибалтийская ГРЭС;Pribaltijskaja GRES;674.0011437385106
3129660;7527578;3;0.0024251001467509403;0.00248082406994169;2.7788257405206717e-05;8.358588478612431e-05;0.00011137414219132341;0;2;87;Прибалтийская ГРЭС;Pribaltijskaja GRES;700.2573995043833
3129678;7527689;3;0.01994584201691722;0.020307889373540628;0.00015184197864115477;0.0005430710349351164;0.0006949130135762253;0;2;87;Прибалтийская ГРЭС;Pribaltijskaja GRES;756.9275369282954
3129683;7527721;3;0.0004216012269822982;0.00042936282893372784;3.29746969408008e-06;1.1642402927144444e-05;1.493987262122349e-05;0;2;87;Прибалтийская ГРЭС;Pribaltijskaja GRES;775.6603139005165
3130044;7527225;3;0.10203295934410565;0.10203368114125101;-5.471149240855051e-07;5.471149240876549e-07;1.0711615879011038e-06;0;2;87;Прибалтийская ГРЭС;Pribaltijskaja GRES;193.36736064190885
3130218;7527224;3;0.0020668229970478903;0.0021149133629170254;2.4158754792884466e-05;7.213554880370243e-05;9.629430359658041e-05;0;2;87;Прибалтийская ГРЭС;Pribaltijskaja GRES;54.6172606565257
3130230;7527171;61;0.12394037967031143;0.7065123013619615;-0.0017936642930245247;0.043036139181216404;0.6844513311220226;0;4;87;Прибалтийская ГРЭС;Pribaltijskaja GRES;0.578067270273332
3135400;7267470;25;0.1278816072375971;0.38681239382657245;-0.009203140061243759;0.01826946763156624;0.21170659604093123;0;4;741;Великорецкая;Velikoretskaja;0.2634966595293276
3158274;7278173;55;0.10197189237529772;0.2527648241677352;0.0015271232252880614;0.02240862209578666;0.14421774266091575;0;4;744;Псков;Pskov;0.41086761893686247
3172988;6897210;49;0.04838912887272455;0.29306067273265196;0.0020011184051351018;0.013137585151449886;0.2930606727326433;0;4;913;Полоцк;Polotsk;0.5213514077436923
3184930;7535368;37;0.09783127092923324;0.13094428905449756;-6.957677393795735e-05;0.01315837380373207;0.05713686507248433;0;0;759;Кингисеппская;Kingiseppskaja;0.33559030174073773
3210411;7818902;74;0.2713852091610603;0.9480665525536622;-0.013189969230743434;0.05606241705629059;0.5746493778235421;0;4;24;Светогорская ГЭС-11;Svetogorskaja GES-11;0.3377791591124697
3212192;7816483;30;1.1411916983644943e-16;2.72842073614705e-16;4.05414193579005e-19;8.778576269565595e-17;2.646542648836494e-16;0;0;24;Светогорская ГЭС-11;Svetogorskaja GES-11;3004.1307130168884
3219080;7747520;42;0.13633598498568245;0.16741748240299234;-2.7435053678967305e-05;0.009252013772553785;0.03877873189417158;0;0;789;Выборгская;Vyborgskaja;0.23788932324198578
3230542;7605524;41;0.04247574159201048;0.07371465778685761;-0.00041900767541850015;0.005891344519564579;0.04535268419395333;0;0;1844;ОРУ Ленинградская АЭС 750 кВ;ORU Leningradskaja AES 750 kV;0.40350278699476966
3235094;7604851;7;0.04671463602089141;0.053158343640525865;0.0023307026610237818;0.004015171029537651;0.00922539588948073;0;2;770;Копорская;Koporskaja;0.2362942455007062
3235814;7608874;49;0.09860743259568815;0.14564873973507336;-0.0010590185445873816;0.010448310228692784;0.046401628277716475;0;0;1843;ОРУ Ленинградская АЭС 330 кВ;ORU Leningradskaja AES 330 kV;0.46218650090554136
3244544;7787666;30;0.07553940163293994;0.10337591520109687;-0.0016074040990754794;0.004393124688087646;0.024590305377655358;0;0;767;Каменногорская;Kamennogorskaja;0.5436922117605588
3324985;7678562;9;0.053373575778113566;0.06975052622448034;-0.0021645675807830185;0.004157255554054938;0.01623159009189165;0;2;764;Зеленогорск;Zelenogorsk;0.19852828543213896
