x;y;life_span;mean_BC;max_BC;trend_BC;mean_DeltaBC;max_DeltaBC;BC_EuclideanNorm;BC_Deviation
6371165;7524073;10;0.0007912783902872906;0.0008221502710085733;-4.671369612862663e-06;6.165680360334799e-06;1.923895409031574e-05;0.0025026439289844177;1.4183532444724423e-05
6371171;7524071;10;0.0019676054798975938;0.002363056183949528;0.00010688198986831046;0.00010088647180431306;0.0007785237864103315;0.0063285396015890115;0.00036547233050533386
6372494;7524205;60;0.003695189206930893;0.011129768853128157;0.0001392324965436464;0.0002930039090455313;0.0031794255057295134;0.03589533597328243;0.0027964553400501788
6373380;6834442;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6377457;8533012;47;6.195172639296348e-06;2.1792902051801728e-05;-1.3529372615111852e-07;9.55299625429397e-07;1.1407274284012189e-05;4.8931538046576554e-05;3.5443323236476716e-06
6378704;8537061;44;0.0006383180917637588;0.0010016830308792947;2.047689107667103e-05;3.0040576406997924e-05;0.0009926410634918626;0.00495965610828427;0.00038935813487283433
6379228;8524365;41;0.010590555340201459;0.015014511127269113;0.0003003493414411284;0.00048524534255097476;0.01489033477514838;0.07668430303707409;0.005591648767087147
6380225;8524469;3;1.2453086886743845e-05;3.735926066023154e-05;1.8679630330112455e-05;1.867963033011577e-05;3.735926066023154e-05;3.735926066023154e-05;1.761132436864369e-05
6384132;8709743;46;0.0033690004738317104;0.0053311978529765065;0.00013197511888759773;0.00016054499411879858;0.004960975710205649;0.027322794891876178;0.0022088142000725266
6384274;8707814;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6384919;8715540;40;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6403111;7469403;54;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6403140;7469399;54;0.0021711439082783813;0.0048270880679315755;-3.782742426427254e-05;9.311762345476366e-05;0.0006953498137050344;0.01679951987721075;0.0007158924901214747
6403202;7469448;54;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6403231;7469445;54;0.006256626842711644;0.01262459707453588;0.00010185898651199849;0.0004032509411860749;0.003131531258178149;0.048826019137321285;0.002236604795283146
6403970;6286253;43;0.0010070712826932057;0.00824743263068489;-5.25748624186504e-05;0.00040305448851074056;0.007658018508322519;0.01066548076602694;0.0012771898615774801
6405510;6121790;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6405932;6122151;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6405952;6122210;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6405970;6122185;41;0.002797094768417122;0.003837005399586784;-2.9744541003111123e-05;6.464739518823487e-05;0.0009482177789729659;0.018076455103927466;0.00038206512790940736
6410892;9153582;14;7.845299984753612e-07;1.0777333112996746e-06;5.441199329054941e-08;6.795868765519142e-08;7.014631643849957e-07;3.1298047666113166e-06;2.9017918331295334e-07
6411625;7464390;54;5.429658491115749e-06;3.5234219473953106e-05;-3.397784990158684e-07;6.41261538377164e-07;5.660832953148994e-06;6.745425839494615e-05;7.401317004656215e-06
6414078;6274691;4;0.003562087356816312;0.004242500735341516;0.0007893238505391454;0.0009006357686763719;0.002666248250201509;0.007484146214412268;0.001146579610007415
6414078;6274719;32;0.0;0.0;0.0;0.0;0.0;0.0;0.0
