node_key;epoch;x;y;n_rows;mean_SpectralNorm;max_SpectralNorm;mean_DeltaSpec;max_DeltaSpec
"(4247886.0;6690626.0)";1993-2002;4247886.0;6690626.0;10;0.036263156991075275;0.03826129602035255;0.004369488990052499;0.015483575133567542
"(4247886.0;6690626.0)";2003-2012;4247886.0;6690626.0;10;0.03777237696412618;0.04048702375463806;0.0030303890741868295;0.011612964933791289
"(4247886.0;6690626.0)";2013-2022;4247886.0;6690626.0;8;0.04231279271192344;0.04437586465439866;0.006819743966177954;0.011192857349297378
"(4248253.0;6698088.0)";1963-1972;4248253.0;6698088.0;1;0.02915164022637483;0.02915164022637483;;
"(4248253.0;6698088.0)";1973-1982;4248253.0;6698088.0;10;0.026763035308300553;0.03992188016192399;0.01444953820665161;0.0363816233407678
"(4248253.0;6698088.0)";1983-1992;4248253.0;6698088.0;10;0.026628188904842816;0.03728072835975607;0.009557489784782446;0.02273778207709844
"(4248253.0;6698088.0)";1993-2002;4248253.0;6698088.0;10;0.03491621841557083;0.03705822785291148;0.004747704925884789;0.015643446501477302
"(4248253.0;6698088.0)";2003-2012;4248253.0;6698088.0;10;0.0361241036172899;0.037122825379805095;0.0030122174018316914;0.01053352458332999
"(4248253.0;6698088.0)";2013-2022;4248253.0;6698088.0;8;0.03913164936778201;0.04135549461591447;0.005987486034577004;0.011990723121286887
"(4249034.0;6110856.0)";1963-1972;4249034.0;6110856.0;6;0.34631596072394616;0.4132756050393992;0.11541508850448245;0.21023132451679274
"(4249034.0;6110856.0)";1973-1982;4249034.0;6110856.0;10;0.23818833934507308;0.3151395464530495;0.1358534129686854;0.22844666056900118
"(4249034.0;6110856.0)";1983-1992;4249034.0;6110856.0;10;0.15061521288151944;0.2565791811274465;0.0787501293337276;0.18653228567865282
"(4249034.0;6110856.0)";1993-2002;4249034.0;6110856.0;10;0.13440377829323516;0.14715135456134168;0.018357680749988593;0.055352209722511495
"(4249034.0;6110856.0)";2003-2012;4249034.0;6110856.0;10;0.14027576792820243;0.15065990875063331;0.021074920563384874;0.09186246933099589
"(4249034.0;6110856.0)";2013-2022;4249034.0;6110856.0;8;0.13115900192545232;0.13539422490056408;0.027810547180341635;0.060691182704184984
"(4251098.0;7062950.0)";1983-1992;4251098.0;7062950.0;6;0.04954846941507868;0.06073923142331203;0.039894198210967395;0.050475974345692134
"(4251098.0;7062950.0)";1993-2002;4251098.0;7062950.0;10;0.04473659678728554;0.0584079900361469;0.008837330969128695;0.030712095865551348
"(4251098.0;7062950.0)";2003-2012;4251098.0;7062950.0;10;0.05327905186143086;0.0593788468482553;0.008851040177035568;0.031229204435025103
"(4251098.0;7062950.0)";2013-2022;4251098.0;7062950.0;8;0.046999815101511584;0.05080536066976586;0.012931302552314887;0.030533250364847168
"(4254930.0;6447195.0)";1993-2002;4254930.0;6447195.0;7;0.05028270860393784;0.051000808231188334;0.005237325141828661;0.016320815867854176
"(4254930.0;6447195.0)";2003-2012;4254930.0;6447195.0;10;0.051591441043169664;0.053257835391399784;0.0064549733003235925;0.03214098494355892
"(4254930.0;6447195.0)";2013-2022;4254930.0;6447195.0;8;0.052094171796324217;0.05532323262630137;0.010975396652344968;0.01666499115385992
"(4255884.0;6644836.0)";1953-1962;4255884.0;6644836.0;2;0.28527671514477465;0.29302173238105617;0.02126975884071254;0.02126975884071254
"(4255884.0;6644836.0)";1963-1972;4255884.0;6644836.0;10;0.08050515939842788;0.19895971927302414;0.07527608886862622;0.2496744772193123
"(4255884.0;6644836.0)";1973-1982;4255884.0;6644836.0;10;0.05896971678724473;0.08078741840140173;0.030403285806080132;0.0502494820789943
"(4255884.0;6644836.0)";1983-1992;4255884.0;6644836.0;10;0.04712058374740265;0.060313151836079694;0.016064303296572085;0.049977680289738514
"(4255884.0;6644836.0)";1993-2002;4255884.0;6644836.0;10;0.046534732883221575;0.04907678441708144;0.005599812109798892;0.019833567303197134
"(4255884.0;6644836.0)";2003-2012;4255884.0;6644836.0;10;0.047918926894480574;0.049277769891021964;0.0039824428668758655;0.016247861198469438
"(4255884.0;6644836.0)";2013-2022;4255884.0;6644836.0;8;0.06162539602409692;0.08098650235187045;0.013258819515044084;0.034741822642799694
"(4256609.0;6691236.0)";1933-1942;4256609.0;6691236.0;7;0.7177415567442341;0.8253531582443177;;
"(4256609.0;6691236.0)";1943-1952;4256609.0;6691236.0;10;0.9031574388541163;0.9347842539573955;;
"(4256609.0;6691236.0)";1953-1962;4256609.0;6691236.0;10;0.6715160782504834;0.9375693625018465;0.4733012010745389;1.0905660020628254
"(4256609.0;6691236.0)";1963-1972;4256609.0;6691236.0;10;0.1793825884913146;0.5945070999631867;0.095933221204401;0.31429597685008126
"(4256609.0;6691236.0)";1973-1982;4256609.0;6691236.0;10;0.08810128990467667;0.12647165479572448;0.04623996941483496;0.0865514662471441
"(4256609.0;6691236.0)";1983-1992;4256609.0;6691236.0;10;0.05158224636821431;0.06792938149039401;0.018141272920635065;0.056909457890130744
"(4256609.0;6691236.0)";1993-2002;4256609.0;6691236.0;10;0.046961727528465495;0.049606452057713385;0.006035268336171117;0.020837474610634232
"(4256609.0;6691236.0)";2003-2012;4256609.0;6691236.0;10;0.04801913860485347;0.04951060977341292;0.004308472729240542;0.017993967748242672
"(4256609.0;6691236.0)";2013-2022;4256609.0;6691236.0;8;0.04918475738974398;0.05134848678567665;0.007718410708740556;0.016339640663100667
"(4257109.0;6686668.0)";2013-2022;4257109.0;6686668.0;3;0.0325395512580331;0.03261456360745445;0.00556835530730489;0.007480120572508743
"(4258123.0;6809634.0)";1963-1972;4258123.0;6809634.0;8;0.1201664929941458;0.12264646922857522;0.028632583413284594;0.05376174778883192
"(4258123.0;6809634.0)";1973-1982;4258123.0;6809634.0;10;0.12414969399252881;0.1816628778364836;0.066392899152368;0.1294397619846886
"(4258123.0;6809634.0)";1983-1992;4258123.0;6809634.0;10;0.08883449495393575;0.10588155700471906;0.029072074819894704;0.0899959378743707
"(4258123.0;6809634.0)";1993-2002;4258123.0;6809634.0;10;0.08754096990633212;0.09301316001307132;0.012188164888655569;0.03946471542963451
"(4258123.0;6809634.0)";2003-2012;4258123.0;6809634.0;10;0.08680136674039332;0.09329976672346797;0.007574665127516226;0.025134603147498782
"(4258123.0;6809634.0)";2013-2022;4258123.0;6809634.0;8;0.08612559391507876;0.09066853832682777;0.012997272542283101;0.02814373465254054
"(4258659.0;6809309.0)";1963-1972;4258659.0;6809309.0;8;0.03370366819877501;0.03684829224544563;0.007269418258402535;0.011862604257954984
"(4258659.0;6809309.0)";1973-1982;4258659.0;6809309.0;10;0.025009309573493604;0.03405426964540765;0.010603912318023073;0.02595480987295857
"(4258659.0;6809309.0)";1983-1992;4258659.0;6809309.0;10;0.019009068874582168;0.02058678161558252;0.006470007870749604;0.01746180914684125
"(4258659.0;6809309.0)";1993-2002;4258659.0;6809309.0;10;0.018935043888473318;0.02001518165295038;0.002446987540532194;0.00841945733314405
"(4258659.0;6809309.0)";2003-2012;4258659.0;6809309.0;10;0.019399863980548597;0.020176513714194454;0.0018511265985526304;0.007589226418593473
"(4258659.0;6809309.0)";2013-2022;4258659.0;6809309.0;8;0.019959994001601537;0.020753104575099806;0.0030853095740454675;0.006680017023562905
"(4263534.0;7228896.0)";1933-1942;4263534.0;7228896.0;3;0.8989002662478169;0.9209298816143782;;
"(4263534.0;7228896.0)";1943-1952;4263534.0;7228896.0;10;0.8686728245673743;0.9220033016940629;;
"(4263534.0;7228896.0)";1953-1962;4263534.0;7228896.0;10;0.6418713638679585;0.939126492842333;0.46618369644990965;1.3068089989078666
"(4263534.0;7228896.0)";1963-1972;4263534.0;7228896.0;10;0.294563148778904;0.4376993514219363;0.12969376334402055;0.4196154921060022
"(4263534.0;7228896.0)";1973-1982;4263534.0;7228896.0;10;0.12713800825410487;0.17063050623815484;0.08023819076457332;0.18867872061388283
"(4263534.0;7228896.0)";1983-1992;4263534.0;7228896.0;10;0.07550171650439812;0.12000326310990458;0.04761257422987936;0.07585434058880469
"(4263534.0;7228896.0)";1993-2002;4263534.0;7228896.0;10;0.05684622585905584;0.07675087623419533;0.01166498318220396;0.03985801170597715
"(4263534.0;7228896.0)";2003-2012;4263534.0;7228896.0;10;0.06858262010352281;0.0778235488381277;0.011768510402473021;0.040844312412849235
"(4263534.0;7228896.0)";2013-2022;4263534.0;7228896.0;8;0.05776249036451493;0.06291029729302937;0.017112707561547192;0.04087744991852902
"(4264046.0;6399661.0)";1983-1992;4264046.0;6399661.0;1;0.056143988501751146;0.056143988501751146;;
"(4264046.0;6399661.0)";1993-2002;4264046.0;6399661.0;10;0.03262475913151314;0.041552936936421314;0.00635530695446529;0.015149565119019184
"(4264046.0;6399661.0)";2003-2012;4264046.0;6399661.0;10;0.03049128816522727;0.03142475297531641;0.0038038422156391046;0.018938516934134435
"(4264046.0;6399661.0)";2013-2022;4264046.0;6399661.0;8;0.044490196406055775;0.051617705511483106;0.01013454247529969;0.025049132892375005
"(4264250.0;6414576.0)";1993-2002;4264250.0;6414576.0;10;0.035280581389450796;0.03668589793565661;0.005232439760875555;0.014535396251444043
"(4264250.0;6414576.0)";2003-2012;4264250.0;6414576.0;10;0.0361353260427603;0.03692589495848466;0.004342777671831792;0.021526043420276503
"(4264250.0;6414576.0)";2013-2022;4264250.0;6414576.0;2;0.034535013376693686;0.03534561128927754;0.010131930670114395;0.011350319177065008
"(4264395.0;6414375.0)";1993-2002;4264395.0;6414375.0;10;0.014102302181068099;0.01454915684824629;0.0022174135137612723;0.005930020988651499
"(4264395.0;6414375.0)";2003-2012;4264395.0;6414375.0;10;0.014771317120681356;0.015224753614318598;0.001840630604221373;0.009158808398359936
"(4264395.0;6414375.0)";2013-2022;4264395.0;6414375.0;2;0.013817476507301599;0.014161646570136263;0.004205489622198259;0.004662663410084903
"(4265938.0;6806374.0)";2013-2022;4265938.0;6806374.0;3;0.006556736121101491;0.0066348817578409745;0.0005517997598460741;0.0008538176071454563
"(4268146.0;6809461.0)";2013-2022;4268146.0;6809461.0;3;0.010587169716122896;0.010675767732838161;0.0013416168604344107;0.0019371400333599135
"(4268151.0;6809452.0)";2013-2022;4268151.0;6809452.0;3;0.023107273067606997;0.023416401157193855;0.002028631268649584;0.0034160444788180876
"(4268181.0;6809495.0)";2013-2022;4268181.0;6809495.0;3;0.02188771360303249;0.021927593085812026;0.003200187290419658;0.0040168841293386996
"(4269539.0;7233943.0)";1973-1982;4269539.0;7233943.0;6;0.11485775971393042;0.1803726184214671;0.09478811913004843;0.15949121782590903
"(4269539.0;7233943.0)";1983-1992;4269539.0;7233943.0;10;0.034264048253761434;0.07142721167847402;0.023398345991296192;0.051910583828128805
"(4269539.0;7233943.0)";1993-2002;4269539.0;7233943.0;10;0.023828625379015346;0.03231396618007589;0.004956537004235758;0.01612004233210381
"(4269539.0;7233943.0)";2003-2012;4269539.0;7233943.0;10;0.028709234046589132;0.032532917215697545;0.004888533057647841;0.01690521342899148
"(4269539.0;7233943.0)";2013-2022;4269539.0;7233943.0;8;0.023800526191180223;0.026025219880992292;0.00727286858161429;0.01688763159002741
"(4269969.0;6485471.0)";1983-1992;4269969.0;6485471.0;9;0.09876454284236938;0.1299839924911279;0.04229908449584169;0.07925046467422249
"(4269969.0;6485471.0)";1993-2002;4269969.0;6485471.0;10;0.12017274559628124;0.13019964864690683;0.016480296667356373;0.04992777317022882
"(4269969.0;6485471.0)";2003-2012;4269969.0;6485471.0;10;0.12078705285515949;0.12337918077260467;0.014506432036762764;0.07195870072758657
"(4269969.0;6485471.0)";2013-2022;4269969.0;6485471.0;8;0.13698171823966251;0.15197513710209073;0.028827014992339976;0.050798359557693885
"(4274686.0;6667262.0)";1983-1992;4274686.0;6667262.0;8;0.02633365790034491;0.028316599142379672;0.006549176646666764;0.009877512666240228
"(4274686.0;6667262.0)";1993-2002;4274686.0;6667262.0;10;0.02654142823509713;0.02801114389772708;0.0032896184955367577;0.01152764052044259
"(4274686.0;6667262.0)";2003-2012;4274686.0;6667262.0;10;0.02724400138549717;0.0280073162269228;0.002340061412345241;0.009686456431708125
"(4274686.0;6667262.0)";2013-2022;4274686.0;6667262.0;8;0.0346878651574693;0.04537427681512161;0.007488510016519859;0.019354649505313723
"(4276472.0;6465179.0)";1983-1992;4276472.0;6465179.0;8;0.02973945016601384;0.03123720974761369;0.00962288192853484;0.020531580183986684
"(4276472.0;6465179.0)";1993-2002;4276472.0;6465179.0;10;0.02748141462062788;0.02876651714831174;0.0038999030646188365;0.011446077833927317
"(4276472.0;6465179.0)";2003-2012;4276472.0;6465179.0;10;0.02812913971022891;0.028908120518640383;0.003479071271832818;0.017341843358007866
"(4276472.0;6465179.0)";2013-2022;4276472.0;6465179.0;8;0.028270453231470306;0.029931039433521187;0.005944476055427316;0.00901144208625342
"(4277421.0;5768080.0)";1953-1962;4277421.0;5768080.0;1;0.38707704139853677;0.38707704139853677;;
"(4277421.0;5768080.0)";1963-1972;4277421.0;5768080.0;10;0.28879289460347946;0.6747626456309122;0.14298296161495622;0.6728355471656644
