x;y;life_span;mean_BC;max_BC;trend_BC;mean_DeltaBC;max_DeltaBC;BC_EuclideanNorm;BC_Deviation;BC_EvolutionType
3630988;7655325;9;0.0015753633475119;0.0016054633893994;-7.695214284029438e-06;9.05899874282864e-06;1.7229036965760213e-05;0.0047264926625355;2.0563718981852613e-05;0
3631651;7655782;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3631656;7655786;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3631656;7655846;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3631678;7655842;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3631682;7655845;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3631696;7655880;60;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3631697;7655813;51;0.0130865721340842;0.02944250568606;-0.0001774832405999;0.001120695099725;0.0214316108691089;0.0993946289036812;0.0047384852664745;4
3631713;7655867;60;0.0061509767683302;0.013067408313223;0.0001955949812479;0.0005266964624048;0.0085826107969756;0.0575043814708175;0.004156687335024;4
3631930;7655405;51;0.0462203394878616;0.0592695842104885;0.000580805495968;0.0015192711610788;0.0123052910269395;0.3364773313360176;0.0091444675248616;3
3632192;7655512;51;0.0093419123958265;0.0153897432012726;0.0002245613669967;0.0004421300355247;0.0084153931497987;0.0723747385943015;0.003928940132535;4
3632204;7655502;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3632210;7655494;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3632211;7655537;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3632233;7655460;51;0.0029249920069376;0.0068882552892724;-9.238964681379033e-05;0.0001976434554745;0.0022178676610452;0.0237273839352596;0.0015758860448132;4
3632261;7655484;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3641686;6492485;46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3647081;6841612;47;1.4671104427562142e-06;5.621988722290623e-06;-6.833911308623269e-08;1.0865890765888949e-07;8.075376660000614e-07;1.2938425961653256e-05;1.187160504274167e-06;4
3650151;6673630;46;0.010160242264471;0.015666205060209;0.0002238900924713;0.0006901925679315;0.0117108790784772;0.0760428067042608;0.0047409052504571;4
3652214;7674933;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3652891;7025837;47;0.0015041391162411;0.0023023493883004;2.335605006491942e-05;7.308453237950515e-05;0.0011672806769025;0.0111835186449733;0.0006313893608567;4
3654117;9043637;50;0.0017319938957716;0.0031153477046755;7.209748152751926e-05;9.142023296238836e-05;0.0030203031489456;0.0153616361464259;0.0013114093361393;4
3654334;7672402;17;0.0088375202127581;0.0095585832242146;-8.389145980883199e-05;8.22870354103911e-05;0.0002027444835321;0.036479636110794;0.0004224488197676;0
